Wavelength (nm),olivine n,olivine k,silica n,silica k,iron n,iron k
700,1.64006733801622,1.00010324864145E-05,2.117961207,1.1E-07,3.42823,3.39901
800,1.64004649370982,3.41945605107228E-05,2.112146991,1.13E-07,3.54548,3.55353
900,1.64004154642271,6.71918984545157E-05,2.107518217,9.28E-08,3.65758,3.72098
1000,1.64005675533039,0.000135643049156,2.103650317,6.83E-08,3.76244,3.93077
1100,1.64014789656086,0.000150423948862,2.100203927,5.41E-08,3.8608,4.14557
1200,1.64017643147093,0.000114686564606,2.096924882,5.52E-08,3.95815,4.3742
1300,1.64020345908365,9.28092280761044E-05,2.09364422,6.54E-08,4.06107,4.55843
1400,1.64021503935434,5.51636272066649E-05,2.090278179,7.23E-08,4.14881,4.76419
1500,1.64020454580338,2.61985520813184E-05,2.086828199,6.82E-08,4.22961,5.00616
1600,1.64018903239859,1.42139390977996E-05,2.083380919,6.78E-08,4.31476,5.18819
1700,1.64017850809969,1.12048022112007E-05,2.080108183,1.32E-07,4.39151,5.41629
